record_Id,group,dataSetName,lon,lat,elev,archive,proxy,age,resolution,temperature,temperature_type,season,continent
MilandreCave.Affolter.2019_0_132,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3629,35,7.7,absolute,annual,1
MilandreCave.Affolter.2019_0_133,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3659.5,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_134,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3690.5,35,8.3,absolute,annual,1
MilandreCave.Affolter.2019_0_135,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3721,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_136,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3751.5,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_137,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3782.5,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_138,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3810,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_139,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3856,35,7.9,absolute,annual,1
MilandreCave.Affolter.2019_0_140,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3886.5,35,7.6,absolute,annual,1
MilandreCave.Affolter.2019_0_141,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3917,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_142,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3950.5,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_143,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,3983,35,8.2,absolute,annual,1
MilandreCave.Affolter.2019_0_144,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,4016,35,8.6,absolute,annual,1
MilandreCave.Affolter.2019_0_145,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,4064,35,8.3,absolute,annual,1
MilandreCave.Affolter.2019_0_146,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,4124.5,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_147,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,4212,35,8.1,absolute,annual,1
MilandreCave.Affolter.2019_0_148,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,4267,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_149,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,4310,35,8.6,absolute,annual,1
MilandreCave.Affolter.2019_0_150,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,4349.5,35,8,absolute,annual,1
MilandreCave.Affolter.2019_0_151,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,4389.5,35,7.8,absolute,annual,1
MilandreCave.Affolter.2019_0_152,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,4531.5,35,7.6,absolute,annual,1
MilandreCave.Affolter.2019_0_153,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,4554,35,8.5,absolute,annual,1
MilandreCave.Affolter.2019_0_154,MilandreCave.Affolter.2019_0,MilandreCave.Affolter.2019,7.02,47.49,491,Speleothem,dD,4585.5,35,8.6,absolute,annual,1
